duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,top100
54461,0.392,0.719,-5.706,0.0583,0.00166,0.172,0.814,140.238,0
54466,0.681,0.528,-12.742,0.0629,0.675,0.281,0.967,150.052,0
54520,0.439,0.988,-5.82,0.125,0.00396,0.309,0.103,95.176,0
54560,0.342,0.957,-3.897,0.16,0.0624,0.86,0.0387,139.943,0
54601,0.425,0.495,-10.089,0.0562,0.0789,0.25,0.574,138.339,0
54826,0.233,0.00669,-38.781,0.0383,0.895,0.109,0.0328,89.436,0
54827,0.661,0.86,-3.342,0.0448,0.33,0.231,0.93,147.991,0
54840,0.56,0.233,-16.369,0.0487,0.991,0.0922,0.788,152.82,0
55000,0.459,0.418,-10.782,0.6,0.851,0.43,0.276,85.387,0
55092,0.263,0.987,-17.747,0.128,0.142,0.856,0.0136,51.706,0
55132,0.3,0.899,-13.131,0.111,0.000182,0.276,0.425,72.579,0
55186,0.767,0.452,-5.107,0.0439,0.308,0.209,0.782,129.953,0
55293,0.375,0.226,-19.704,0.0486,0.986,0.0886,0.857,71.455,0
55374,0.229,0.91,-21.289,0.0661,0.949,0.104,0.0185,103.859,0
55401,0.399,0.897,-30.057,0.0393,0.946,0.111,0.0375,178.746,0
55520,0.178,0.18,-16.097,0.0335,0.711,0.168,0.168,63.18,0
55693,0.769,0.662,-5.739,0.0506,0.719,0.112,0.433,123.841,0
55706,0.295,0.079,-22.973,0.0559,0.882,0.103,0.19,57.715,0
55706,0.284,0.364,-15.026,0.0315,0.607,0.24,0.0703,102.307,0
55847,0.709,0.669,-8.605,0.0333,0.204,0.109,0.953,94.019,0
55853,0.809,0.113,-8.151,0.0498,0.97,0.0823,0.587,90.123,0
55955,0.305,0.998,-4.325,0.107,8.00E-05,0.383,0.0286,98.95,0
55986,0.729,0.203,-13.335,0.0349,0.786,0.196,0.909,149.772,0
56104,0.777,0.242,-4.762,0.0327,0.558,0.136,0.817,80.007,0
56106,0.643,0.653,-11.67,0.955,0.819,0.9,0.719,85.666,0
56173,0.43,0.215,-19.196,0.0581,0.965,0.188,0.459,77.823,0
56305,0.572,0.108,-26.102,0.0468,0.898,0.1,0.469,74.998,0
56406,0.25,0.49,-23.895,0.0491,0.69,0.471,0.00246,59.456,0
56415,0.905,0.607,-10.677,0.293,0.74,0.968,0.969,99.99,0
56490,0.524,0.756,-12.18,0.916,0.82,0.792,0.383,89.874,0
56600,0.466,0.958,-6.483,0.185,0.0168,0.119,0.232,129.722,0
56612,0.19,0.822,-12.577,0.148,3.23E-05,0.153,0.848,77.928,0
56656,0.958,0.397,-8.839,0.0535,0.857,0.108,0.546,109.981,0
56764,0.818,0.847,-3.213,0.0951,0.107,0.0834,0.712,124.959,0
56823,0.619,0.0834,-23.629,0.0393,0.612,0.126,0.2,100.008,0
56840,0.488,0.556,-8.439,0.113,0.12,0.0867,0.435,202.58,0
56843,0.546,0.0727,-20.182,0.192,0.93,0.14,0.146,103.801,0
57139,0.191,0.457,-11.588,0.0402,0.00448,0.136,0.0508,176.076,0
57142,0.267,0.113,-23.608,0.0571,0.841,0.113,0.199,132.049,0
57182,0.537,0.71,-13.404,0.956,0.753,0.728,0.6,48.973,0
57210,0.0761,0.851,-20.889,0.07,0.146,0.504,0.00242,171.107,0
57226,0.246,0.103,-24.539,0.0387,0.895,0.121,0.165,85.744,0
57370,0.392,0.429,-10.279,0.0462,0.527,0.217,0.105,72.104,0
57495,0.683,0.468,-10.058,0.0743,0.87,0.108,0.47,117.095,0
57585,0.839,0.389,-6.429,0.0736,0.352,0.097,0.735,119.981,0
57626,0.357,0.112,-10.342,0.0439,0.958,0.119,0.174,81.285,0
